,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
3,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
4,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,2
5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,0,0,0,1,1,1,1,1,1,2,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0,1,2,1,1,2,2,0,0,0,0,1
7,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,1,1
8,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,0,2,0,0,2,2,2,2,1,2,1,2,1,1,1,1
9,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
10,2,2,2,2,2,0,0,0,0,0,0,0,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
11,2,2,2,2,2,0,0,2,2,2,0,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
12,0,0,0,2,2,0,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
13,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
14,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
15,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
16,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
